Title,Price,Link,Image URL,Description
2 Carat Lab Grown Diamond Ring - LGB008,"Rs.902,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/2-carat-lab-grown-diamond-ring-lgb001,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
1.5 Carat Lab Grown Diamond Ring - LGB007,"Rs.605,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/1-5-carat-lab-grown-diamond-ring-lgb006,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
1 Carat Lab Grown Diamond Ring - LGB006,"Rs.437,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/1-carat-lab-grown-diamond-ring-lgb006,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
0.50 Carat Lab Grown Diamond Ring - LGB005,"Rs.195,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/0-50-carat-lab-grown-diamond-ring-lgb005,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
1 Carat Lab Grown Diamond Ring - LGB004,"Rs.422,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb004,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
1.5 Carat Lab Grown Diamond Ring - LGB003,"Rs.590,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb003,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
2 Carat Lab Grown Diamond Ring - LGB002,"Rs.884,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb002,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
0.50 Carat Lab Grown Diamond Ring - LGB001,"Rs.180,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/lab-grown-diamond-ring-lgb001,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VVS2+ Clarity G+ Colour GIA & IGI Certified Exchange/Upgrade: 70% Refund: 60% Yellow & White Gold Expert Craftmanship Premium Packaging
Diamond Ring - DR81,"Rs.270,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/diamond-ring-dr81,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VS1- Clarity H - Colour Exchange/Upgrade: 100% Refund: 90% Yellow & White Gold Expert Craftmanship Premium Packaging
Diamond Ring - DR80,"Rs.685,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/diamond-ring-dr80,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VS1- Clarity H - Colour Exchange/Upgrade: 100% Refund: 90% Yellow & White Gold Expert Craftmanship Premium Packaging
Diamond Ring - DR79,"Rs.323,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/diamond-ring-dr79,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VS1- Clarity H - Colour Exchange/Upgrade: 100% Refund: 90% Yellow & White Gold Expert Craftmanship Premium Packaging
Diamond Ring - DR78,"Rs.494,000.00",https://heritagejewels.com.pk/collections/diamond-rings/products/diamond-ring-dr78,https://heritagejewels.com.pk/cdn/shop/files/png.png?v=1729942276&width=95,VS1- Clarity H - Colour Exchange/Upgrade: 100% Refund: 90% Yellow & White Gold Expert Craftmanship Premium Packaging
